Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.apache.httpcomponents:httpmime:4.5.14,org.apache.httpcomponents,,MultipartEntityBuilder,1,
org.junit.jupiter:junit-jupiter-params:6.0.3,org.junit.jupiter,,"ParameterizedTest, ValueSource",1,
org.assertj:assertj-core:3.27.7,org.assertj,,ThrowableAssert.ThrowingCallable,1,
org.apache.httpcomponents:httpclient:4.5.14,org.apache.httpcomponents,,"CloseableHttpClient, PoolingHttpClientConnectionManager, HttpClients",1,
org.eclipse.jetty:jetty-http:11.0.26,org.eclipse.jetty,,HttpStatus,1,
org.openjdk.jcstress:jcstress-core:0.16,org.openjdk.jcstress,,"State, Outcome, Z_Result, Expect, Arbiter, Actor, JCStressTest",1,
org.apache.lucene:lucene-queryparser:10.4.0,org.apache.lucene,,ParseException,1,
org.apache.lucene:lucene-queries:10.4.0,org.apache.lucene,,"SpanNearQuery, SpanQuery, SpanTermQuery, SpanFirstQuery, SpanMultiTermQueryWrapper",1,
commons-daemon:commons-daemon:1.5.1,commons-daemon,,"DaemonInitException, DaemonContext, Daemon",1,
org.apache.tika:tika-core:3.3.0,org.apache.tika,,Metadata,1,
org.apache.ant:ant-testutil:1.10.17,org.apache.ant,,BuildFileRule,1,
com.oracle.database.jdbc:ojdbc11:23.26.1.0.0,com.oracle.database.jdbc,,OracleTypes,1,
org.xqdoc:xqdoc-conversion:1.6,org.xqdoc,,XQDocException,1,
com.zaxxer:HikariCP:7.0.2,com.zaxxer,,"HikariConfig, HikariDataSource",1,
com.github.h-thurow:simple-jndi:0.25.0,com.github.h-thurow,,JndiLoader,1,
com.h2database:h2:2.4.240,com.h2database,,"JdbcDataSourceFactory, JdbcDataSource",1,
org.exist-db.thirdparty.com.ettrema:milton-api:1.8.1.3.1,org.exist-db.thirdparty.com.ettrema,,"LockInfo.LockDepth, Request.Method, Request, LockInfo.LockType, LockToken, Auth, LockInfo, LockTimeout",1,
org.exist-db.thirdparty.com.ettrema:milton-servlet:1.8.1.3-jakarta5,org.exist-db.thirdparty.com.ettrema,,"MiltonServlet, ServletHttpManager",1,
org.exist-db.thirdparty.com.ettrema:milton-client:1.8.1.3,org.exist-db.thirdparty.com.ettrema,,"File, Folder, HttpException, Resource, HostBuilder, Host",1,
org.z3950.zing:cql-java:1.13,org.z3950.zing,,"CQLNode, CQLParseException, CQLParser",1,
jakarta.mail:jakarta.mail-api:2.1.5,jakarta.mail,,"Authenticator, PasswordAuthentication, Session",1,
jakarta.activation:jakarta.activation-api:2.1.4,jakarta.activation,,"MimeType, MimeTypeParseException, MimeTypeParameterList",1,
com.icegreen:greenmail:2.1.8,com.icegreen,,"ServerSetup, GreenMailUtil",1,
org.eclipse.angus:jakarta.mail:2.0.5,org.eclipse.angus,,"MimeMessage, Message.RecipientType, Address, BodyPart, Message, MimeMultipart, MessagingException",1,
com.icegreen:greenmail-junit4:2.1.8,com.icegreen,,GreenMailRule,1,
